"No.","Time","Source","Destination","Protocol","Length","Info"
"5308","7.589363","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=67, FN=0, Flags=.......TC"
"5310","7.590422","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=70, FN=0, Flags=.......TC"
"5316","7.592498","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=68, FN=0, Flags=.......TC"
"5318","7.593556","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=68, FN=0, Flags=.......TC"
"5322","7.595821","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=69, FN=0, Flags=.......TC"
"5326","7.596987","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=69, FN=0, Flags=.......TC"
"5330","7.598055","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=71, FN=0, Flags=.......TC"
"5334","7.601571","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=70, FN=0, Flags=.......TC"
"5338","7.603025","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=72, FN=0, Flags=.......TC"
"5342","7.606118","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=70, FN=0, Flags=.......TC"
"5350","7.708300","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=73, FN=0, Flags=.......TC"
"5352","7.709359","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=71, FN=0, Flags=.......TC"
"5354","7.710427","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=71, FN=0, Flags=.......TC"
